goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-10        	     120	  10976265 ns/op	 6728326 B/op	  135486 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-10          	     433	   2925019 ns/op	 4849279 B/op	   80095 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-10          	     411	   3081858 ns/op	 4849282 B/op	   80095 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-10          	     410	   2908528 ns/op	 4849282 B/op	   80095 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-10          	     412	   2909409 ns/op	 4849278 B/op	   80095 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-10          	     394	   2945130 ns/op	 4849281 B/op	   80095 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-10          	     412	   2939699 ns/op	 4849282 B/op	   80095 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-10          	     414	   2919919 ns/op	 4849278 B/op	   80095 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-10          	     409	   2915786 ns/op	 4849285 B/op	   80095 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-10          	     408	   2902164 ns/op	 4849285 B/op	   80095 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-10          	     411	   2973859 ns/op	 4849284 B/op	   80095 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-10          	      73	  15609055 ns/op	24366448 B/op	  400294 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-10          	      70	  15635735 ns/op	24366452 B/op	  400294 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-10          	      72	  15621367 ns/op	24366457 B/op	  400294 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-10          	      73	  15797009 ns/op	24366457 B/op	  400294 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-10          	      70	  16736758 ns/op	24366454 B/op	  400294 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-10          	      61	  17968701 ns/op	24366455 B/op	  400294 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-10          	      62	  17522528 ns/op	24366448 B/op	  400294 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-10          	      64	  15767059 ns/op	24366453 B/op	  400294 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-10          	      72	  15723968 ns/op	24366451 B/op	  400294 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-10          	      74	  15658519 ns/op	24367574 B/op	  400294 allocs/op
PASS
ok  	github.com/wbrown/janus-datalog/datalog/executor	272.367s
