goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/V_bound-10        	 2721102	       446.5 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/V_bound-10        	 2989297	       394.6 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/V_bound-10       	 3038958	       395.6 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/V_bound-10       	 2932952	       386.2 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/V_bound-10       	 3079125	       390.3 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/V_bound-10       	 3096656	       384.9 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/V_bound-10       	 3060592	       387.6 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/Nothing_bound-10  	     436	   2844783 ns/op	19315551 B/op	   40262 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/Nothing_bound-10  	     409	   2855424 ns/op	19317118 B/op	   40277 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/Nothing_bound-10  	     423	   3384397 ns/op	19316281 B/op	   40269 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/Nothing_bound-10  	     366	   2883445 ns/op	19320091 B/op	   40306 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/Nothing_bound-10  	     428	   2874266 ns/op	19315994 B/op	   40266 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/Nothing_bound-10 	     421	   3152150 ns/op	19316397 B/op	   40270 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/Nothing_bound-10 	     403	   2934441 ns/op	19317495 B/op	   40281 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/Nothing_bound-10 	     424	   2735326 ns/op	19316222 B/op	   40268 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/Nothing_bound-10 	     423	   2826779 ns/op	19316280 B/op	   40269 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/Nothing_bound-10 	     398	   2907287 ns/op	19317817 B/op	   40284 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100-10                          	   25186	     42864 ns/op	   85169 B/op	    1074 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100-10                          	   27405	     45909 ns/op	   85169 B/op	    1074 allocs/op
