goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkIndexBuildTime/BuildIndices_100000-10                       	      19	  60379263 ns/op	91675916 B/op	 1002702 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100000-10                       	      21	  87212571 ns/op	91675930 B/op	 1002702 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100000-10                       	      18	  78287637 ns/op	91675930 B/op	 1002702 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100000-10                       	      14	 115304637 ns/op	91683626 B/op	 1002702 allocs/op
BenchmarkAttributeScan/Linear/1000-10                                	    8226	    171604 ns/op	  286793 B/op	    2017 allocs/op
BenchmarkAttributeScan/Linear/1000-10                                	    5174	    213846 ns/op	  286879 B/op	    2017 allocs/op
BenchmarkAttributeScan/Linear/1000-10                                	    5796	    200803 ns/op	  286854 B/op	    2017 allocs/op
BenchmarkAttributeScan/Linear/1000-10                                	   11635	    111548 ns/op	  286750 B/op	    2016 allocs/op
BenchmarkAttributeScan/Linear/1000-10                                	    9850	    103429 ns/op	  286769 B/op	    2017 allocs/op
BenchmarkAttributeScan/Indexed/1000-10                               	   12355	     92736 ns/op	  286744 B/op	    2016 allocs/op
BenchmarkAttributeScan/Indexed/1000-10                               	   13089	    103508 ns/op	  286739 B/op	    2016 allocs/op
BenchmarkAttributeScan/Indexed/1000-10                               	   12568	    123579 ns/op	  286743 B/op	    2016 allocs/op
BenchmarkAttributeScan/Indexed/1000-10                               	    7106	    142595 ns/op	  286816 B/op	    2017 allocs/op
BenchmarkAttributeScan/Indexed/1000-10                               	    8226	    141549 ns/op	  286793 B/op	    2017 allocs/op
BenchmarkAttributeScan/Linear/10000-10                               	     728	   1537598 ns/op	 4528499 B/op	   20161 allocs/op
BenchmarkAttributeScan/Linear/10000-10                               	     730	   1617302 ns/op	 4528460 B/op	   20161 allocs/op
BenchmarkAttributeScan/Linear/10000-10                               	     823	   1334815 ns/op	 4526837 B/op	   20146 allocs/op
BenchmarkAttributeScan/Linear/10000-10                               	     943	   1280758 ns/op	 4525217 B/op	   20130 allocs/op
BenchmarkAttributeScan/Linear/10000-10                               	     936	   1262602 ns/op	 4525300 B/op	   20131 allocs/op
BenchmarkAttributeScan/Indexed/10000-10                              	     927	   1268855 ns/op	 4525409 B/op	   20132 allocs/op
BenchmarkAttributeScan/Indexed/10000-10                              	     958	   1235870 ns/op	 4525043 B/op	   20128 allocs/op
BenchmarkAttributeScan/Indexed/10000-10                              	     800	   1284003 ns/op	 4527204 B/op	   20149 allocs/op
BenchmarkAttributeScan/Indexed/10000-10                              	     854	   1247360 ns/op	 4526375 B/op	   20141 allocs/op
BenchmarkAttributeScan/Indexed/10000-10                              	     912	   1227212 ns/op	 4525595 B/op	   20134 allocs/op
BenchmarkAttributeScan/Linear/100000-10                              	      94	  12901327 ns/op	52654565 B/op	  210701 allocs/op
BenchmarkAttributeScan/Linear/100000-10                              	      90	  13816975 ns/op	52697909 B/op	  211175 allocs/op
BenchmarkAttributeScan/Linear/100000-10                              	      94	  12255229 ns/op	52654564 B/op	  210701 allocs/op
BenchmarkAttributeScan/Linear/100000-10                              	      91	  14665196 ns/op	52686715 B/op	  211052 allocs/op
BenchmarkAttributeScan/Linear/100000-10                              	      64	  18225352 ns/op	53111724 B/op	  215701 allocs/op
BenchmarkAttributeScan/Indexed/100000-10                             	      90	  12930943 ns/op	52697909 B/op	  211175 allocs/op
BenchmarkAttributeScan/Indexed/100000-10                             	      90	  13441638 ns/op	52697912 B/op	  211175 allocs/op
BenchmarkAttributeScan/Indexed/100000-10                             	      90	  14689795 ns/op	52697910 B/op	  211175 allocs/op
BenchmarkAttributeScan/Indexed/100000-10                             	      90	  13607198 ns/op	52697911 B/op	  211175 allocs/op
BenchmarkAttributeScan/Indexed/100000-10                             	      78	  13028831 ns/op	52854622 B/op	  212889 allocs/op
PASS
ok  	github.com/wbrown/janus-datalog/datalog/executor	314.758s
